North Carolina,WTA,2189316,46.17%,,2362631,49.83%,15,130126,2.74%,,12105,0.26%,,,,,47386,1.00%,,173315,3.66%,4741564,NC,[417]
North Dakota,WTA,93758,27.23%,,216794,62.96%,3,21434,6.22%,,3780,1.10%,,,,,8594,2.49%,,123036,35.73%,344360,ND,[418]
Ohio,WTA,2394164,43.56%,,2841005,51.69%,18,174498,3.17%,,46271,0.84%,,12574,0.23%,,27975,0.51%,,446841,8.13%,5496487,OH,[419]
Oklahoma,WTA,420375,28.93%,,949136,65.32%,7,83481,5.75%,,,,,,,,N/A,N/A,,528761,37.08%,1452992,OK,[420]
Oregon,WTA,1002106,50.07%,7,782403,39.09%,,94231,4.71%,,50002,2.50%,,,,,72594,3.63%,,-219703,-10.98%,2001336,OR,[421]
Pennsylvania,WTA,2926441,47.46%,,2970733,48.18%,20,146715,2.38%,,49941,0.81%,,6472,0.11%,,65176,1.06%,,44292,0.72%,6165478,PA,[422]
Rhode Island,WTA,252525,54.41%,4,180543,38.90%,,14746,3.18%,,6220,1.34%,,516,0.11%,,9594,2.07%,,-71982,-15.51%,464144,RI,[423]
South Carolina,WTA,855373,40.67%,,1155389,54.94%,9,49204,2.34%,,13034,0.62%,,21016,1.00%,,9011,0.43%,,300016,14.27%,2103027,SC,[424]
South Dakota,WTA,117458,31.74%,,227721,61.53%,3,20850,5.63%,,,,,,,,4064,1.10%,,110263,29.79%,370093,SD,[425]
Tennessee,WTA,870695,34.72%,,1522925,60.72%,11,70397,2.81%,,15993,0.64%,,11991,0.48%,,16026,0.64%,,652230,26.01%,2508027,TN,[426]
Texas,WTA,3877868,43.24%,,4685047,52.23%,36,283492,3.16%,,71558,0.80%,,42366,0.47%,,8895,0.10%,2,807179,8.99%,8969226,TX,[427]
Utah,WTA,310676,27.46%,,515231,45.54%,6,39608,3.50%,,9438,0.83%,,243690,21.54%,,12787,1.13%,,204555,18.08%,1131430,UT,[428]
Vermont,WTA,178573,56.68%,3,95369,30.27%,,10078,3.20%,,6758,2.14%,,639,0.20%,,23650,7.51%,,-83204,-26.41%,315067,VT,[429]
Virginia,WTA,1981473,49.73%,13,1769443,44.41%,,118274,2.97%,,27638,0.69%,,54054,1.36%,,33749,0.85%,,-212030,-5.32%,3984631,VA,[430]
Washington,WTA,1742718,52.54%,8,1221747,36.83%,,160879,4.85%,,58417,1.76%,,,,,133258,4.02%,4,-520971,-15.71%,3317019,WA,[431]
West Virginia,WTA,188794,26.43%,,489371,68.50%,5,23004,3.22%,,8075,1.13%,,1104,0.15%,,4075,0.57%,,300577,42.07%,714423,WV,[432]
Wisconsin,WTA,1382536,46.45%,,1405284,47.22%,10,106674,3.58%,,31072,1.04%,,11855,0.40%,,38729,1.30%,,22748,0.76%,2976150,WI,[433]
Wyoming,WTA,55973,21.63%,,174419,67.40%,3,13287,5.13%,,2515,0.97%,,,,,9655,3.73%,,118446,46.30%,255849,WY,[434]
